Order ID,Order Date,Product Name,Sales,Profit,Category,Sub-Category
CA-2015-149734,9/3/2015,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,62.8075,Office Supplies,Envelopes
US-2017-119662,11/13/2017,Safco Industrial Wire Shelving,230.376,-48.9549,Office Supplies,Storage
CA-2017-140088,5/28/2017,Novimex Swivel Fabric Task Chair,301.96,33.2156,Furniture,Chairs
CA-2017-155558,10/26/2017,Avery 511,6.16,2.9568,Office Supplies,Labels
CA-2016-159695,4/5/2016,Eldon Portable Mobile Manager,158.368,13.8572,Office Supplies,Storage
CA-2016-109806,9/17/2016,Turquoise Lead Holder with Pocket Clip,20.1,6.633,Office Supplies,Art
CA-2016-109806,9/17/2016,Panasonic Kx-TS550,73.584,8.2782,Technology,Phones
CA-2016-109806,9/17/2016,Xerox 1995,6.48,3.1104,Office Supplies,Paper
CA-2015-149587,1/31/2015,Xerox 1999,12.96,6.2208,Office Supplies,Paper
CA-2015-149587,1/31/2015,Seth Thomas 13 1/2 Wall Clock,53.34,16.5354,Furniture,Furnishings
CA-2015-149587,1/31/2015,Ibico Standard Transparent Covers,32.96,16.1504,Office Supplies,Binders
CA-2017-161018,11/9/2017,9-3/4 Diameter Round Wall Clock,96.53,40.5426,Furniture,Furnishings
CA-2017-157833,6/17/2017,Trimflex Flexible Post Binders,51.312,17.9592,Office Supplies,Binders
CA-2016-149223,9/6/2016,Fellowes Basic Home/Office Series Surge Protectors,77.88,22.5852,Office Supplies,Appliances
CA-2016-158568,8/29/2016,Avery Personal Creations Heavyweight Cards,64.624,22.6184,Office Supplies,Paper
CA-2016-158568,8/29/2016,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,-10.7973,Technology,Accessories
CA-2016-158568,8/29/2016,Avery Hidden Tab Dividers for Binding Systems,1.788,-3.0396,Office Supplies,Binders
US-2015-156867,11/13/2015,Logitech K350 2.4Ghz Wireless Keyboard,238.896,-26.8758,Technology,Accessories
CA-2017-119004,11/23/2017,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,17.6016,Technology,Accessories
CA-2017-119004,11/23/2017,Speck Products Candyshell Flip Case,27.992,2.0994,Technology,Phones
CA-2017-119004,11/23/2017,Newell Chalk Holder,3.304,1.0738,Office Supplies,Art
CA-2015-129476,10/15/2015,Logitech Gaming G510s - Keyboard,339.96,67.992,Technology,Accessories
CA-2017-146780,12/25/2017,Magnifier Swing Arm Lamp,41.96,10.9096,Furniture,Furnishings
CA-2016-128867,11/3/2016,Avery Durable Plastic 1 Binders,27.24,13.3476,Office Supplies,Binders
CA-2014-115259,8/25/2014,Xerox 1921,23.976,7.4925,Office Supplies,Paper
CA-2015-110457,3/2/2015,Hon Racetrack Conference Tables,787.53,165.3813,Furniture,Tables
US-2015-136476,4/5/2015,GBC DocuBind 300 Electric Binding Machine,157.794,-115.7156,Office Supplies,Binders
CA-2016-103730,6/12/2016,Artistic Insta-Plaque,47.04,18.3456,Furniture,Furnishings
CA-2016-103730,6/12/2016,Globe Weis Peel & Seel First Class Envelopes,115.02,51.759,Office Supplies,Envelopes
US-2014-152030,12/26/2014,Global Deluxe High-Back Manager's Chair,600.558,-8.5794,Furniture,Chairs
US-2014-134614,9/20/2014,Bevis 44 x 96 Conference Tables,617.7,-407.682,Furniture,Tables
US-2017-164147,2/2/2017,Xerox 1916,78.304,29.364,Office Supplies,Paper
US-2017-164147,2/2/2017,Staples,21.456,6.9732,Office Supplies,Fasteners
CA-2016-145583,10/13/2016,Xerox 195,20.04,9.6192,Office Supplies,Paper
CA-2016-145583,10/13/2016,Xerox 1880,35.44,16.6568,Office Supplies,Paper
CA-2016-145583,10/13/2016,Ideal Clamps,4.02,1.9698,Office Supplies,Fasteners
CA-2016-145583,10/13/2016,GBC Wire Binding Strips,76.176,26.6616,Office Supplies,Binders
CA-2016-145583,10/13/2016,Fiskars Softgrip Scissors,65.88,18.4464,Office Supplies,Supplies
CA-2016-145583,10/13/2016,Longer-Life Soft White Bulbs,43.12,20.6976,Furniture,Furnishings
CA-2017-106180,9/18/2017,Newell 343,8.82,2.3814,Office Supplies,Art
CA-2017-106180,9/18/2017,Convenience Packs of Business Envelopes,10.86,5.1042,Office Supplies,Envelopes
CA-2017-106180,9/18/2017,Xerox 1911,143.7,68.976,Office Supplies,Paper
CA-2017-155376,12/22/2017,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,218.2518,Office Supplies,Appliances
CA-2015-110744,9/7/2015,Safco Industrial Wire Shelving,671.93,20.1579,Office Supplies,Storage
CA-2014-110072,10/22/2014,Seth Thomas 14 Putty-Colored Wall Clock,93.888,12.9096,Furniture,Furnishings
CA-2016-114489,12/5/2016,Anker Astro 15000mAh USB Portable Charger,149.97,5.9988,Technology,Phones
CA-2016-114489,12/5/2016,GBC Prestige Therm-A-Bind Covers,171.55,80.6285,Office Supplies,Binders
CA-2016-158834,3/13/2016,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,15.2388,Technology,Phones
CA-2015-124919,5/31/2015,Xerox 1883,105.52,48.5392,Office Supplies,Paper
CA-2015-118948,5/28/2015,Newell 311,6.63,1.7901,Office Supplies,Art
CA-2014-104269,3/1/2014,Global Deluxe High-Back Manager's Chair,457.568,51.4764,Furniture,Chairs
CA-2016-114104,11/20/2016,Avery 519,14.62,6.8714,Office Supplies,Labels
CA-2016-114104,11/20/2016,Avaya 5420 Digital phone,944.93,236.2325,Technology,Phones
CA-2016-162733,5/11/2016,Xerox 1920,5.98,2.691,Office Supplies,Paper
CA-2015-119697,12/28/2015,Lenovo 17-Key USB Numeric Keypad,54.384,1.3596,Technology,Accessories
CA-2016-154508,11/16/2016,Staple envelope,28.4,13.348,Office Supplies,Envelopes
CA-2016-113817,11/7/2016,Wilson Jones International Size A4 Ring Binders,27.68,9.688,Office Supplies,Binders
CA-2014-139892,9/8/2014,BIC Brite Liner Highlighters,9.936,2.7324,Office Supplies,Art
CA-2014-139892,9/8/2014,Lexmark MX611dhe Monochrome Laser Printer,8159.952,-1359.992,Technology,Machines
CA-2014-139892,9/8/2014,Space Solutions HD Industrial Steel Shelving.,275.928,-58.6347,Office Supplies,Storage
CA-2014-139892,9/8/2014,SAFCO Arco Folding Chair,1740.06,-24.858,Furniture,Chairs
CA-2014-139892,9/8/2014,Sanford Liquid Accent Highlighters,32.064,6.8136,Office Supplies,Art
CA-2014-139892,9/8/2014,Kensington 7 Outlet MasterPiece Power Center,177.98,-453.849,Office Supplies,Appliances
CA-2014-139892,9/8/2014,JBL Micro Wireless Portable Bluetooth Speaker,143.976,8.9985,Technology,Phones
CA-2014-118962,8/5/2014,Xerox 1913,110.96,53.2608,Office Supplies,Paper
US-2014-100853,9/14/2014,Avery 51,20.16,6.552,Office Supplies,Labels
US-2015-101511,11/21/2015,Acme Rosewood Handle Letter Opener,15.88,-3.7715,Office Supplies,Supplies
CA-2014-158274,11/19/2014,AT&T TR1909W,503.96,131.0296,Technology,Phones
CA-2014-158274,11/19/2014,Nokia Lumia 521 (T-Mobile),149.95,41.986,Technology,Phones
CA-2014-158274,11/19/2014,HP Standard 104 key PS/2 Keyboard,29,7.25,Technology,Accessories
CA-2016-105018,11/28/2016,Avery Poly Binder Pockets,7.16,3.4368,Office Supplies,Binders
CA-2014-123260,8/26/2014,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,22.984,Technology,Accessories
CA-2015-102281,10/12/2015,Xerox 205,51.84,24.8832,Office Supplies,Paper
CA-2015-102281,10/12/2015,4009 Highlighters by Sanford,19.9,6.567,Office Supplies,Art
CA-2015-131457,10/31/2015,Poly String Tie Envelopes,14.28,6.7116,Office Supplies,Envelopes
CA-2017-107720,11/6/2017,Decoflex Hanging Personal Folder File,46.26,12.0276,Office Supplies,Storage
US-2017-116701,12/17/2017,Eureka Sanitaire Commercial Upright,66.284,-178.9668,Office Supplies,Appliances
CA-2015-101007,2/9/2015,Memorex Micro Travel Drive 8 GB,20.8,6.5,Technology,Accessories
CA-2015-146262,1/2/2015,Avery 505,23.68,8.88,Office Supplies,Labels
CA-2015-146262,1/2/2015,Speck Products Candyshell Flip Case,62.982,-14.6958,Technology,Phones
CA-2015-146262,1/2/2015,Cisco 9971 IP Video Phone Charcoal,1188,-950.4,Technology,Machines
CA-2015-146262,1/2/2015,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,4.4792,Technology,Accessories
CA-2016-130162,10/28/2016,Adtran 1202752G1,302.376,22.6782,Technology,Phones
CA-2015-169397,12/24/2015,OIC Bulk Pack Metal Binder Clips,5.584,1.8148,Office Supplies,Fasteners
CA-2015-169397,12/24/2015,Ibico Standard Transparent Covers,19.776,-13.8432,Office Supplies,Binders
CA-2015-169397,12/24/2015,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,-383.9904,Technology,Machines
CA-2015-163055,8/9/2015,Bevis 36 x 72 Conference Tables,622.45,136.939,Furniture,Tables
CA-2015-163055,8/9/2015,Rogers Deluxe File Chest,21.98,0.2198,Office Supplies,Storage
US-2015-145436,2/28/2015,Global Low Back Tilter Chair,161.568,-28.2744,Furniture,Chairs
US-2014-156216,9/13/2014,GBC Instant Index System for Binding Systems,18.648,-12.432,Office Supplies,Binders
US-2017-100930,4/7/2017,Bush Advantage Collection Round Conference Table,233.86,-102.048,Furniture,Tables
US-2017-100930,4/7/2017,Bretford Rectangular Conference Table Tops,620.6145,-248.2458,Furniture,Tables
US-2017-100930,4/7/2017,GBC Instant Index System for Binding Systems,5.328,-3.552,Office Supplies,Binders
US-2017-100930,4/7/2017,Logitech P710e Mobile Speakerphone,617.976,-7.7247,Technology,Accessories
CA-2016-157749,6/4/2016,Xerox 1957,25.92,9.396,Office Supplies,Paper
CA-2016-157749,6/4/2016,Staple-based wall hangings,11.688,-4.6752,Furniture,Furnishings
CA-2016-157749,6/4/2016,PureGear Roll-On Screen Protector,31.984,11.1944,Technology,Phones
CA-2016-157749,6/4/2016,KI Conference Tables,177.225,-120.513,Furniture,Tables
CA-2016-157749,6/4/2016,Eldon 100 Class Desk Accessories,4.044,-2.8308,Furniture,Furnishings
CA-2014-131926,6/1/2014,Global Deluxe High-Back Manager's Chair,2001.86,580.5394,Furniture,Chairs
CA-2014-131926,6/1/2014,Safco Steel Mobile File Cart,166.72,41.68,Office Supplies,Storage
CA-2014-131926,6/1/2014,Xerox 205,25.92,12.4416,Office Supplies,Paper
CA-2016-145625,9/11/2016,Logitech P710e Mobile Speakerphone,3347.37,636.0003,Technology,Accessories
CA-2016-146941,12/10/2016,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,162.864,Office Supplies,Envelopes
US-2015-159982,11/28/2015,Eldon 100 Class Desk Accessories,12.132,-8.4924,Furniture,Furnishings
US-2015-159982,11/28/2015,Logitech Mobile Speakerphone P710e - speaker phone,647.904,56.6916,Technology,Phones
CA-2017-163139,12/1/2017,Sabrent 4-Port USB 2.0 Hub,20.37,6.9258,Technology,Accessories
CA-2017-163139,12/1/2017,Safco Industrial Shelving,221.55,6.6465,Office Supplies,Storage
CA-2017-163139,12/1/2017,Acco 3-Hole Punch,17.52,6.132,Office Supplies,Binders
US-2014-106992,9/19/2014,Lexmark MX611dhe Monochrome Laser Printer,3059.982,-509.997,Technology,Machines
CA-2016-125318,6/6/2016,Cisco Small Business SPA 502G VoIP phone,328.224,28.7196,Technology,Phones
CA-2015-155040,11/10/2015,Microsoft Sculpt Comfort Mouse,79.9,35.156,Technology,Accessories
CA-2016-111010,1/22/2016,Bagged Rubber Bands,7.56,0.3024,Office Supplies,Fasteners
US-2017-145366,12/9/2017,Safco Commercial Shelving,37.208,-7.4416,Office Supplies,Storage
CA-2017-163979,12/28/2017,Adjustable Depth Letter/Legal Cart,725.84,210.4936,Office Supplies,Storage
CA-2015-155334,7/30/2015,Regeneration Desk Collection,5.28,2.3232,Furniture,Furnishings
CA-2015-155334,7/30/2015,Presstex Flexible Ring Binders,10.92,4.095,Office Supplies,Binders
CA-2017-118136,9/16/2017,Newell 330,5.98,1.5548,Office Supplies,Art
CA-2017-132976,10/13/2017,Eldon Simplefile Box Office,59.712,5.9712,Office Supplies,Storage
CA-2017-132976,10/13/2017,Avery 489,24.84,8.694,Office Supplies,Labels
US-2015-161991,9/26/2015,Round Ring Binders,2.08,-3.432,Office Supplies,Binders
US-2015-161991,9/26/2015,Bose SoundLink Bluetooth Speaker,1114.4,376.11,Technology,Phones
CA-2015-130890,11/2/2015,Bevis Round Bullnose 29 High Table Top,1038.84,51.942,Furniture,Tables
CA-2015-130883,9/26/2015,Easy-staple paper,141.76,47.844,Office Supplies,Paper
CA-2015-130883,9/26/2015,Microsoft Arc Touch Mouse,239.8,47.96,Technology,Accessories
CA-2015-130883,9/26/2015,Xerox 216,31.104,10.8864,Office Supplies,Paper
CA-2016-112697,12/18/2016,GBC VeloBinder Electric Binding Machine,254.058,-169.372,Office Supplies,Binders
CA-2016-112697,12/18/2016,Premier Automatic Letter Opener,961.48,-204.3145,Office Supplies,Supplies
CA-2016-110772,11/20/2016,Advantus SlideClip Paper Clips,19.096,6.6836,Office Supplies,Fasteners
CA-2016-110772,11/20/2016,Avery 512,18.496,6.2424,Office Supplies,Labels
CA-2016-110772,11/20/2016,Logitech Wireless Gaming Headset G930,255.984,54.3966,Technology,Accessories
CA-2014-111451,12/26/2014,Global Deluxe Office Fabric Chairs,230.352,20.1558,Furniture,Chairs
CA-2014-111451,12/26/2014,Ibico Laser Imprintable Binding System Covers,78.6,-62.88,Office Supplies,Binders
CA-2016-142545,10/28/2016,Xerox 223,32.4,15.552,Office Supplies,Paper
CA-2016-142545,10/28/2016,Xerox 1939,56.91,27.3168,Office Supplies,Paper
US-2017-152380,11/19/2017,BPI Conference Tables,219.075,-131.445,Furniture,Tables
CA-2014-130960,12/30/2014,Newell 350,9.84,2.8536,Office Supplies,Art
CA-2017-126774,4/15/2017,Faber Castell Col-Erase Pencils,4.89,2.0049,Office Supplies,Art
CA-2016-142902,9/12/2016,Avery 509,6.264,2.0358,Office Supplies,Labels
CA-2014-167850,8/9/2014,AT&T 1070 Corded Phone,178.384,22.298,Technology,Phones
CA-2014-167850,8/9/2014,Xerox 21,15.552,5.4432,Office Supplies,Paper
CA-2014-164973,11/4/2014,Panasonic Kx-TS550,275.94,80.0226,Technology,Phones
CA-2014-164973,11/4/2014,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360,129.6,Technology,Accessories
CA-2014-156601,9/19/2014,OIC Binder Clips,7.16,3.58,Office Supplies,Fasteners
CA-2016-162138,4/23/2016,Ibico Laser Imprintable Binding System Covers,251.52,81.744,Office Supplies,Binders
CA-2016-162138,4/23/2016,Logitech Wireless Headset h800,99.99,34.9965,Technology,Accessories
CA-2017-153339,11/3/2017,Telescoping Adjustable Floor Lamp,15.992,0.9995,Furniture,Furnishings
US-2016-141544,8/30/2016,Aastra 57i VoIP phone,290.898,-67.8762,Technology,Phones
US-2016-141544,8/30/2016,Round Specialty Laser Printer Labels,100.24,33.831,Office Supplies,Labels
US-2016-150147,4/25/2016,AT&T 841000 Phone,82.8,-20.7,Technology,Phones
US-2016-150147,4/25/2016,Ibico Recycled Grain-Textured Covers,20.724,-13.816,Office Supplies,Binders
US-2016-150147,4/25/2016,Wilson Jones Custom Binder Spines & Labels,4.896,-3.4272,Office Supplies,Binders
CA-2015-137946,9/1/2015,Storex Dura Pro Binders,4.752,1.6038,Office Supplies,Binders
CA-2015-137946,9/1/2015,Hewlett Packard LaserJet 3310 Copier,959.984,335.9944,Technology,Copiers
CA-2015-137946,9/1/2015,Avery Non-Stick Binders,14.368,4.49,Office Supplies,Binders
CA-2014-129924,7/12/2014,Tuff Stuff Recycled Round Ring Binders,7.712,2.7956,Office Supplies,Binders
CA-2014-129924,7/12/2014,Hon 5100 Series Wood Tables,698.352,-17.4588,Furniture,Tables
CA-2014-122336,4/13/2014,Newell 314,17.856,1.116,Office Supplies,Art
CA-2014-122336,4/13/2014,Fellowes PB200 Plastic Comb Binding Machine,509.97,-407.976,Office Supplies,Binders
CA-2014-122336,4/13/2014,Staples,30.992,10.0724,Office Supplies,Fasteners
US-2015-120712,12/20/2015,Fellowes Super Stor/Drawer,88.8,-2.22,Office Supplies,Storage
CA-2017-134306,7/8/2017,Easy-staple paper,24.56,11.5432,Office Supplies,Paper
CA-2016-129714,9/1/2016,Sabrent 4-Port USB 2.0 Hub,6.79,2.3086,Technology,Accessories
CA-2016-129714,9/1/2016,Xerox 1881,24.56,11.5432,Office Supplies,Paper
CA-2016-129714,9/1/2016,Acco Hanging Data Binders,3.048,1.0668,Office Supplies,Binders
CA-2016-129714,9/1/2016,Xerox 1881,49.12,23.0864,Office Supplies,Paper
CA-2016-129714,9/1/2016,GBC DocuBind P400 Electric Binding System,4355.168,1415.4296,Office Supplies,Binders
CA-2016-138520,4/8/2016,Sauder Barrister Bookcases,388.704,-4.8588,Furniture,Bookcases
CA-2017-144904,9/25/2017,Global Ergonomic Managers Chair,488.646,86.8704,Furniture,Chairs
CA-2017-144904,9/25/2017,Newell 333,5.56,1.4456,Office Supplies,Art
CA-2017-144904,9/25/2017,Eldon Wave Desk Accessories,47.12,20.7328,Furniture,Furnishings
CA-2016-155516,10/21/2016,Staple remover,7.36,0.1472,Office Supplies,Supplies
CA-2016-155516,10/21/2016,Pizazz Global Quick File,104.79,29.3412,Office Supplies,Storage
CA-2017-104745,5/29/2017,Xerox 1930,25.92,9.396,Office Supplies,Paper
CA-2017-104745,5/29/2017,File Shuttle I and Handi-File,53.424,4.6746,Office Supplies,Storage
US-2014-119137,7/23/2014,Wilson Jones Custom Binder Spines & Labels,8.16,-5.712,Office Supplies,Binders
US-2014-119137,7/23/2014,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.936,179.1888,Technology,Accessories
US-2014-119137,7/23/2014,Newell 324,9.24,0.924,Office Supplies,Art
US-2014-119137,7/23/2014,Microsoft Natural Keyboard Elite,479.04,-29.94,Technology,Accessories
US-2016-134656,9/28/2016,Xerox 1960,99.136,30.98,Office Supplies,Paper
CA-2015-130792,4/28/2015,Holmes Odor Grabber,8.652,-20.3322,Office Supplies,Appliances
CA-2015-130792,4/28/2015,Akro-Mils 12-Gallon Tote,23.832,2.6811,Office Supplies,Storage
CA-2016-134775,10/28/2016,Southworth Structures Collection,50.96,25.48,Office Supplies,Paper
CA-2015-125395,6/26/2015,Sony 32GB Class 10 Micro SDHC R40 Memory Card,41.9,8.799,Technology,Accessories
US-2015-168935,11/27/2015,Logitech Media Keyboard K200,83.976,-1.0497,Technology,Accessories
CA-2015-122756,12/3/2015,Lexmark MarkNet N8150 Wireless Print Server,482.34,-337.638,Technology,Machines
CA-2015-122756,12/3/2015,3M Hangers With Command Adhesive,2.96,0.777,Furniture,Furnishings
CA-2014-115973,11/24/2014,Crayola Colored Pencils,2.624,0.4264,Office Supplies,Art
US-2014-135972,9/21/2014,Nortel Meridian M3904 Professional Digital phone,246.384,27.7182,Technology,Phones
US-2014-135972,9/21/2014,Canon PC1080F Personal Copier,1799.97,701.9883,Technology,Copiers
US-2014-134971,6/7/2014,Wilson Jones Century Plastic Molded Ring Binders,12.462,-20.5623,Office Supplies,Binders
CA-2017-102946,6/30/2017,Tuf-Vin Binders,75.792,25.5798,Office Supplies,Binders
CA-2017-165603,10/17/2017,2300 Heavy-Duty Transfer File Systems by Perma,49.96,9.4924,Office Supplies,Storage
CA-2017-165603,10/17/2017,Xerox 1958,12.96,6.2208,Office Supplies,Paper
CA-2015-122259,10/31/2015,Acme 10 Easy Grip Assistive Scissors,70.12,21.036,Office Supplies,Supplies
CA-2016-108987,9/8/2016,Super Decoflex Portable Personal File,35.952,3.5952,Office Supplies,Storage
CA-2016-108987,9/8/2016,Contico 72H Heavy-Duty Storage System,131.136,-32.784,Office Supplies,Storage
CA-2016-108987,9/8/2016,Sony 64GB Class 10 Micro SDHC R40 Memory Card,57.584,0.7198,Technology,Accessories
CA-2014-113362,9/14/2014,Fellowes Officeware Wire Shelving,449.15,8.983,Office Supplies,Storage
CA-2017-117933,12/24/2017,Staple holder,35.91,9.6957,Office Supplies,Appliances
CA-2017-117457,12/8/2017,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,37.7895,Technology,Accessories
CA-2017-117457,12/8/2017,Sharp AL-1530CS Digital Copier,1199.976,434.9913,Technology,Copiers
CA-2017-117457,12/8/2017,Self-Adhesive Removable Labels,28.35,13.608,Office Supplies,Labels
CA-2017-117457,12/8/2017,Xerox 1908,55.98,27.4302,Office Supplies,Paper
CA-2017-117457,12/8/2017,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.829,31.4548,Furniture,Bookcases
CA-2017-117457,12/8/2017,Novimex High-Tech Fabric Mesh Task Chair,113.568,-18.4548,Furniture,Chairs
CA-2017-142636,11/3/2017,Xerox 191,139.86,65.7342,Office Supplies,Paper
CA-2017-142636,11/3/2017,Global Deluxe Office Fabric Chairs,307.136,26.8744,Furniture,Chairs
CA-2017-122105,6/24/2017,Bulldog Vacuum Base Pencil Sharpener,95.92,25.8984,Office Supplies,Art
CA-2016-148796,4/14/2016,Bevis Steel Folding Chairs,383.8,38.38,Furniture,Chairs
CA-2017-154816,11/6/2017,Xerox 1987,5.78,2.8322,Office Supplies,Paper
CA-2017-110478,3/4/2017,American Pencil,9.32,2.7028,Office Supplies,Art
CA-2014-142048,6/22/2014,KeyTronic 6101 Series - Keyboard - Black,196.752,56.5662,Technology,Accessories
CA-2017-125388,10/19/2017,Crate-A-Files,32.7,8.502,Office Supplies,Storage
CA-2017-155705,8/21/2017,Hon Multipurpose Stacking Arm Chairs,866.4,225.264,Furniture,Chairs
CA-2017-149160,11/23/2017,Coloredge Poster Frame,28.4,11.076,Furniture,Furnishings
CA-2017-149160,11/23/2017,GBC VeloBinder Manual Binding System,287.92,138.2016,Office Supplies,Binders
CA-2017-152275,10/1/2017,Design Ebony Sketching Pencil,6.672,0.5004,Office Supplies,Art
US-2016-123750,4/15/2016,GBC ProClick 150 Presentation Binding System,189.588,-145.3508,Office Supplies,Binders
US-2016-123750,4/15/2016,Woodgrain Magazine Files by Perma,4.768,-0.7748,Office Supplies,Storage
CA-2016-127369,6/6/2016,Letter Size Cart,714.3,207.147,Office Supplies,Storage
US-2014-150574,12/19/2014,Insertable Tab Post Binder Dividers,4.812,-3.6892,Office Supplies,Binders
US-2014-150574,12/19/2014,Belkin QODE FastFit Bluetooth Keyboard,247.8,-18.585,Technology,Accessories
CA-2016-147375,6/12/2016,Xerox 1908,313.488,113.6394,Office Supplies,Paper
CA-2017-130043,9/15/2017,Xerox 1897,31.872,11.5536,Office Supplies,Paper
CA-2017-157252,1/20/2017,Global Deluxe Steno Chair,207.846,2.3094,Furniture,Chairs
CA-2016-115756,9/5/2016,Aluminum Document Frame,12.22,3.666,Furniture,Furnishings
CA-2016-115756,9/5/2016,Office Star - Ergonomically Designed Knee Chair,242.94,29.1528,Furniture,Chairs
CA-2016-115756,9/5/2016,Avery 520,22.05,10.584,Office Supplies,Labels
CA-2016-166674,4/1/2016,Newell 345,59.52,15.4752,Office Supplies,Art
CA-2016-166674,4/1/2016,Fellowes Bankers Box Recycled Super Stor/Drawer,161.94,9.7164,Office Supplies,Storage
CA-2016-166674,4/1/2016,50 Colored Long Pencils,30.48,7.9248,Office Supplies,Art
